排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数
1,肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,1994,美国,犯罪 剧情,9.7,2972819
2,霸王别姬,导演: 陈凯歌 Kaige Chen,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2196790
3,阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,1994,美国,剧情 爱情,9.5,2215566
4,泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,1997,美国 墨西哥,剧情 爱情 灾难,9.5,2251881
5,这个杀手不太冷,导演: 吕克·贝松 Luc Besson,1994,法国 美国,剧情 动作 犯罪,9.4,2346831
6,千与千寻,导演: 宫崎骏 Hayao Miyazaki,2001,日本,剧情 动画 奇幻,9.4,2298840
7,美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,1997,意大利,剧情 喜剧 爱情 战争,9.5,1357690
8,星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1908978
9,盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,2118741
10,辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,1993,美国,剧情 历史 战争,9.5,1146954
11,楚门的世界,导演: 彼得·威尔 Peter Weir,1998,美国,剧情 科幻,9.4,1768921
12,忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,2009,美国 英国,剧情,9.4,1427072
13,海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,1998,意大利,剧情 音乐,9.3,1716096
14,三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1901722
15,放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,2004,法国 瑞士 德国,剧情 音乐,9.3,1345437
16,机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,2008,美国,科幻 动画 冒险,9.3,1349314
17,疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,美国,喜剧 动画 冒险,9.2,2002132
18,无间道,导演: 刘伟强 / 麦兆辉,2002,中国香港,剧情 犯罪 惊悚,9.3,1404476
19,控方证人,导演: 比利·怀尔德 Billy Wilder,1957,美国,剧情 犯罪 悬疑,9.6,590926
20,大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1569169
21,熔炉,导演: 黄东赫 Dong-hyuk Hwang,2011,韩国,剧情,9.4,953653
22,教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,美国,剧情 犯罪,9.3,995046
23,触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,法国,剧情 喜剧,9.3,1152399
24,当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,2006,美国,剧情 传记 家庭,9.2,1555073
25,寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,美国,喜剧 动画 奇幻 音乐,9.1,1738396
26,末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,914896
27,龙猫,导演: 宫崎骏 Hayao Miyazaki,1988,日本,动画 奇幻 冒险,9.2,1296067
28,怦然心动,导演: 罗伯·莱纳 Rob Reiner,2010,美国,剧情 喜剧 爱情,9.1,1877849
29,活着,导演: 张艺谋 Yimou Zhang,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,872041
30,哈利·波特与魔法石,导演: Chris Columbus,2001,美国 英国,奇幻 冒险,9.2,1233142
31,蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1089987
32,指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,825349
33,我不是药神,导演: 文牧野 Muye Wen,2018,中国大陆,剧情 喜剧,9.0,2155615
34,乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,美国,剧情 历史 爱情 战争,9.3,710160
35,飞屋环游记,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,美国,剧情 喜剧 动画 冒险,9.1,1361765
36,素媛,导演: 李濬益 Jun-ik Lee,2013,韩国,剧情,9.3,705795
37,十二怒汉,导演: Sidney Lumet,1957,美国,剧情,9.4,508111
38,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki,2004,日本,动画 奇幻 冒险,9.1,1056283
39,让子弹飞,导演: 姜文 Wen Jiang,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1743770
